track_name,album_name,energy,valence,reading_grade,syllable_density,lexical_diversity,bridge_shift,thematic_dna,energy_is_predicted,valence_is_predicted,cluster_id,umap_x,umap_y,top_driver,archetype_name,archetype_desc,symbol,data_type
State Of Grace (Acoustic Version),Red,0.118,0.0682,0.7047077922077918,1.1688311688311688,0.4588744588744589,0.7061999999999999,"coming, saw, worthwhile, ruthless, unless",False,False,4.0,0.96259975,3.9868264,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),triangle-down,ACTUAL
State Of Grace (Taylor's Version),Red (TV),0.713,0.328,0.664227272727274,1.170909090909091,0.4145454545454545,0.7061999999999999,"comin, saw, ruthless, mosaic, worthwhile",False,False,0.0,1.1636585,9.573636,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",star,ACTUAL
Red (Taylor's Version),Red (TV),0.777,0.408,3.3871719457013576,1.2923076923076924,0.4,-0.9881,"loving, burning, forgetting, missing, losing",False,False,2.0,4.572079,6.1454167,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",star,ACTUAL
Treacherous (Taylor's Version),Red (TV),0.593,0.299,1.0012709030100346,1.2192307692307691,0.3961538461538461,-1.0604,"follow, slope, echoed, path, sleepless",False,False,1.0,0.5111453,6.600713,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),star,ACTUAL
I Knew You Were Trouble (Taylor's Version),Red (TV),0.557,0.767,1.2361134113411332,1.183168316831683,0.2747524752475248,-0.6716,"walked, flew, shame, drowning, lyin",False,False,3.0,-0.85595685,8.553798,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
All Too Well (Taylor's Version),Red (TV),0.528,0.132,1.9038370118845511,1.2129032258064516,0.432258064516129,-0.1213,"remember, bout, scarf, maybe, rare",False,False,4.0,1.7205389,5.8914785,valence,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star,ACTUAL
22 (Taylor's Version),Red (TV),0.695,0.642,1.6996239717978838,1.2702702702702702,0.3022113022113022,-0.4365,"nights, feels, alright, sleepin, gotta",False,False,3.0,2.6150157,8.036284,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
I Almost Do (Taylor's Version),Red (TV),0.559,0.248,1.3864148681055148,1.183453237410072,0.3453237410071942,1.3063,"hope, takes, chair, sittin, week",False,False,4.0,1.9792802,3.447145,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star,ACTUAL
We Are Never Ever Getting Back Together (Taylor's Version),Red (TV),0.686,0.716,3.0269226350057465,1.2841823056300268,0.353887399463807,0.4679,"gettin, friends, tellin, called, used",False,False,2.0,3.6485739,7.738179,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",star,ACTUAL
Stay Stay Stay (Taylor's Version),Red (TV),0.681,0.663,1.143863636363637,1.1454545454545455,0.3606060606060606,-0.1499,"loving, quite, funny, took, helmet",False,False,3.0,0.04707931,9.020665,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
The Last Time (Taylor's Version),Red (TV),0.534,0.155,1.0159774436090243,1.1185344827586208,0.2392241379310344,-0.7483,"askin, eye, lightbody, gary, list",False,False,0.0,-1.1262538,5.5369954,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",star,ACTUAL
Holy Ground (Taylor's Version),Red (TV),0.809,0.511,0.7566139240506331,1.1677215189873418,0.4177215189873418,-0.04,"ayy, dance, woah, dancin, tonight",False,False,3.0,1.0596647,9.422662,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
Sad Beautiful Tragic (Taylor's Version),Red (TV),0.406,0.232,3.344370709382151,1.331578947368421,0.5210526315789473,-0.8381,"magic, affair, tracks, woah, try",False,False,2.0,4.4442544,5.017906,lexical_diversity,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",star,ACTUAL
The Lucky One (Taylor's Version),Red (TV),0.571,0.538,1.5073809523809525,1.1845238095238095,0.3809523809523809,-0.0184,"let, loves, lights, everybody, pretty",False,False,3.0,1.235426,8.391138,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
Starlight (Taylor's Version),Red (TV),0.685,0.605,1.719900497512441,1.2208955223880598,0.3432835820895522,0.3912,"hoo, dancin, nines, tune, marvelous",False,False,3.0,2.2586381,8.1899805,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
Begin Again (Taylor's Version),Red (TV),0.527,0.267,1.9899604916593532,1.164179104477612,0.3850746268656716,0.0265999999999999,"spendin, wednesday, watched, strange, months",False,False,4.0,1.5211347,5.618767,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star,ACTUAL
The Moment I Knew (Taylor's Version),Red (TV),0.402,0.208,0.742309420255225,1.1982507288629738,0.4227405247813411,0.1251999999999999,"impress, missin, motion, lipstick, slow",False,False,4.0,0.892122,4.279046,valence,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star,ACTUAL
Come Back...Be Here (Taylor's Version),Red (TV),0.632,0.399,0.3733628482972158,1.1393188854489165,0.3591331269349845,-0.3914,"wanna, sinks, feelin, guess, took",False,False,0.0,-0.79199165,6.098125,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",star,ACTUAL
Girl At Home (Taylor's Version),Red (TV),0.736,0.612,2.5280942334739827,1.2936708860759494,0.2860759493670886,-1.6716,"everybody, got, proposition, number, cab",False,False,2.0,4.479838,7.051714,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",star,ACTUAL
State Of Grace (Acoustic Version) [Taylor's Version],Red (TV),0.131,0.101,0.1402577484290113,1.148471615720524,0.462882096069869,0.7061999999999999,"comin, saw, worthwhile, ruthless, unless",False,False,4.0,0.9121088,4.097184,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star,ACTUAL
Ronan (Taylor's Version),Red (TV),0.279,0.38,2.090874989938019,1.2541254125412542,0.4686468646864686,0.0005,"remember, gonna, away, miracle, bare",False,False,1.0,3.7125483,4.2878356,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),star,ACTUAL
Better Man (Taylor's Version) [From The Vault],Red (TV),0.579,0.255,2.470480874316941,1.1721311475409837,0.2725409836065574,-0.0144,"just, middle, goodbye, hand, feel",False,False,4.0,1.8882002,5.4678535,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star,ACTUAL
Nothing New (Taylor's Version) [From The Vault],Red (TV),0.377,0.446,1.1151092896174897,1.160857908847185,0.4396782841823056,0.1789999999999999,"wake, person, eighteen, drink, middle",False,False,1.0,0.39462897,5.628123,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),star,ACTUAL
Babe (Taylor's Version) [From The Vault],Red (TV),0.743,0.746,1.5553249329758714,1.206434316353887,0.2788203753351206,-0.4009,"promises, blew, ain, wreck, ball",False,False,3.0,-0.42563382,8.754786,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
Message In A Bottle (Taylor's Version) [From The Vault],Red (TV),0.791,0.494,0.8070685579196244,1.1111111111111112,0.2601010101010101,0.7283,"hopin, gets, standin, sleep, reason",False,False,0.0,-1.8529962,6.890289,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",star,ACTUAL
I Bet You Think About Me (Taylor's Version) [From The Vault],Red (TV),0.715,0.473,1.928962292161522,1.1919431279620851,0.466824644549763,-0.3979999999999999,"harder, believe, sit, yes, scared",False,False,3.0,1.2397906,6.272402,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
Forever Winter (Taylor's Version) [From The Vault],Red (TV),0.552,0.41,1.571200000000001,1.2203389830508475,0.4011299435028249,-0.0962,"pieces, says, sun, floor, breakin",False,False,1.0,1.601848,6.628056,valence,Fountain Pen,Modern Confessional (Specific Storytelling),star,ACTUAL
Run (Taylor's Version) [From The Vault],Red (TV),0.488,0.443,-0.4493602255476006,1.0539772727272727,0.3465909090909091,-0.15,"law, darling, let, chain, reason",False,False,0.0,-1.0631285,6.1727486,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",star,ACTUAL
The Very First Night (Taylor's Version) [From The Vault],Red (TV),0.733,0.581,0.701334844706416,1.139650872817955,0.2917705735660847,-1.0695,"away, write, pick, hotel, ridin",False,False,3.0,-1.0407803,7.330367,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star,ACTUAL
All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Red (TV),0.518,0.205,1.8920812798544269,1.18801652892562,0.3553719008264462,-0.0788999999999999,"remember, rare, sacred, prayer, wind",False,False,4.0,1.7222314,5.390943,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star,ACTUAL
Welcome To New York,1989,0.634,0.658,2.585757204610953,1.2536023054755043,0.2737752161383285,0.4938,"waitin, soundtrack, blind, bright, beat",False,False,3.0,3.401132,7.8944955,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
Blank Space,1989,0.703,0.57,0.7019213778843003,1.1714836223506744,0.3757225433526011,-0.5277000000000001,"insane, lovers, list, nasty, scar",False,False,3.0,-0.31677648,7.854631,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
Style,1989,0.791,0.487,1.435018315018315,1.135897435897436,0.3564102564102564,-0.3409,"crashing, got, dean, classic, skirt",False,False,3.0,0.99253273,9.124187,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
Out Of The Woods,1989,0.841,0.338,0.0850774102744562,1.103448275862069,0.1784107946026986,0.6156,"clear, remember, looking, flying, discovered",False,False,0.0,-1.9803667,6.6086526,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",circle,ACTUAL
All You Had To Do Was Stay,1989,0.725,0.539,-0.0990530250588381,1.0643776824034334,0.2017167381974249,-1.7311,"palm, lock, easy, late, hand",False,False,0.0,-1.3911505,6.9148126,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",circle,ACTUAL
Shake It Off,1989,0.8,0.942,0.6042273750221234,1.1131059245960502,0.2280071813285457,0.0968999999999999,"fake, gonna, play, break, haters",False,False,3.0,-0.62316436,8.9288,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
I Wish You Would,1989,0.893,0.513,0.3915275707898686,1.0700447093889718,0.1698956780923994,0.1509,"hung, makes, phone, straight, forget",False,False,0.0,-1.8964753,6.827615,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",circle,ACTUAL
Bad Blood,1989,0.794,0.287,-0.1245681798702946,1.081135902636917,0.2535496957403651,1.1534,"got, solve, deep, cut, cause",False,False,0.0,-2.0765905,6.4640837,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",circle,ACTUAL
Wildest Dreams,1989,0.688,0.465,0.9979143258426966,1.2219101123595506,0.3595505617977528,-0.7592,"rosy, sunset, starin, cheeks, follow",False,False,3.0,0.06030035,7.257987,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
How You Get The Girl,1989,0.656,0.545,0.3127620013522652,1.1151960784313726,0.2524509803921568,0.3246,"works, wait, worse, cheeks, broke",False,False,0.0,-1.6493888,6.664285,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",circle,ACTUAL
This Love,1989,0.435,0.107,0.2322133185962975,1.07012987012987,0.2649350649350649,0.2005,"came, gone, free, alive, let",False,False,0.0,-1.343246,5.551251,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",circle,ACTUAL
I Know Places,1989,0.755,0.495,1.8326587301587305,1.1873015873015873,0.3777777777777777,1.6093000000000002,"hide, foxes, tails, hunters, track",False,False,3.0,2.7539768,8.580609,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
Clean,1989,0.377,0.211,2.5130961245557657,1.2636655948553055,0.3633440514469453,0.6205999999999999,"finally, trace, drownin, pouring, mornin",False,False,4.0,2.2244358,4.411799,energy,Standard Pop,Radio-Ready (Mid-Range Baseline Production),circle,ACTUAL
Wonderland,1989,0.692,0.197,2.1614621258870734,1.2311015118790496,0.3174946004319654,0.1037999999999999,"lost, pretended, worse, got, didn",False,False,4.0,2.4068182,6.591251,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),circle,ACTUAL
You Are In Love,1989,0.48,0.319,0.8373939235201675,1.0939759036144578,0.3204819277108434,-1.7221000000000002,"silence, lights, true, hear, feel",False,False,0.0,-1.04343,6.554771,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",circle,ACTUAL
New Romantics,1989,0.889,0.584,2.6521802162595094,1.2731277533039649,0.3215859030837004,1.8474,"castle, bricks, build, dream, threw",False,False,2.0,3.0495121,8.326183,energy,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",circle,ACTUAL
...Ready For It?,reputation,0.764,0.417,1.235725431985994,1.1677704194260483,0.3178807947019867,-0.6289,"games, let, middle, gon, breeze",False,False,3.0,0.42371333,8.277544,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",square,ACTUAL
End Game,reputation,0.589,0.151,1.9937859362859385,1.1908713692946058,0.3125864453665283,-0.9354,"wanna, big, team, got, heard",False,False,4.0,1.7289912,5.378923,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),square,ACTUAL
I Did Something Bad,reputation,0.602,0.305,3.461246143165692,1.335483870967742,0.2881720430107526,-0.9763,"light, feel, somethin, felt, fun",False,False,2.0,4.067258,6.4137235,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",square,ACTUAL
Don't Blame Me,reputation,0.534,0.193,0.9834368530020718,1.1511387163561078,0.2753623188405797,0.785,"usin, rest, drug, lord, doin",False,False,0.0,-1.7050576,5.512797,lexical_diversity,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",square,ACTUAL
Delicate,reputation,0.404,0.0499,1.388171779141107,1.1901840490797546,0.2494887525562372,-1.1744,"isn, cool, chill, cause, promises",False,False,4.0,1.3090987,5.0725346,energy,Standard Pop,Radio-Ready (Mid-Range Baseline Production),square,ACTUAL
Look What You Made Me Do,reputation,0.709,0.506,0.3179883130568068,1.0891608391608392,0.2237762237762237,0.3316999999999999,"just, trusts, starrin, check, actress",False,False,0.0,-1.8237538,6.7739325,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",square,ACTUAL
So It Goes...,reputation,0.61,0.374,0.5777689746723418,1.1593830334190232,0.2802056555269923,0.4246,"countin, pieces, caught, scratches, number",False,False,0.0,-1.7231692,6.007362,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",square,ACTUAL
Gorgeous,reputation,0.535,0.451,1.7845416856492058,1.171557562076749,0.3476297968397291,-0.7764,"face, furious, turns, feel, makes",False,False,3.0,0.79762113,7.0616517,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",square,ACTUAL
Getaway Car,reputation,0.689,0.351,2.1706493506493487,1.2454545454545454,0.3127272727272727,-0.3827,"ridin, far, shoulda, met, sirens",False,False,3.0,2.4516943,6.931299,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",square,ACTUAL
King Of My Heart,reputation,0.703,0.314,1.4241489361702122,1.1829787234042553,0.2872340425531915,-1.5187,"waitin, woah, soul, salute, motown",False,False,3.0,0.24071853,7.5381155,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",square,ACTUAL
Dancing With Our Hands Tied,reputation,0.691,0.284,0.7533920417482101,1.1552511415525115,0.2922374429223744,1.1881,"dancin, feelin, dance, locket, pockets",False,False,0.0,-1.9370365,5.6989045,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",square,ACTUAL
Dress,reputation,0.469,0.0851,1.6293224923625296,1.2057026476578412,0.2688391038696537,-0.7243999999999999,"bought, patience, pining, shakin, bedpost",False,False,4.0,1.4780039,5.078598,valence,Standard Pop,Radio-Ready (Mid-Range Baseline Production),square,ACTUAL
This Is Why We Can't Have Nice Things,reputation,0.789,0.438,1.700845936939249,1.1734939759036145,0.3783132530120482,-0.0036,"darlin, wouldn, hear, break, away",False,False,3.0,1.4810143,9.034758,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",square,ACTUAL
Call It What You Want,reputation,0.504,0.252,0.4108974358974393,1.1173076923076923,0.3038461538461538,0.1576,"stream, jet, fit, brand, walking",False,False,0.0,-1.2897397,5.7168183,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",square,ACTUAL
New Year's Day,reputation,0.151,0.23,2.0449071358748796,1.2150537634408602,0.282258064516129,0.0495000000000001,"hold, memories, recognize, stranger, cleanin",False,False,4.0,1.5320443,4.5434685,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),square,ACTUAL
I Forgot That You Existed,Lover,0.316,0.541,1.8275232702451127,1.2559726962457338,0.4027303754266211,-0.3112,"isn, indifference, peaceful, kill, quiet",False,False,1.0,3.3480282,4.3959675,energy,Fountain Pen,Modern Confessional (Specific Storytelling),x,ACTUAL
Cruel Summer,Lover,0.702,0.564,1.217089569160997,1.1760722347629795,0.3363431151241535,0.8091,"woah, roll, breakable, shape, rules",False,False,3.0,1.4446763,8.699783,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
Lover,Lover,0.543,0.453,2.277695560253701,1.255813953488372,0.4534883720930232,0.5381,"close, save, dazzling, magnetic, seconds",False,False,2.0,3.6747348,4.796867,valence,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",x,ACTUAL
The Man,Lover,0.658,0.633,1.3923963599595552,1.130232558139535,0.3116279069767442,-1.7307,"sick, quicker, comin, fast, wonderin",False,False,3.0,-1.1068677,7.3391314,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
The Archer,Lover,0.574,0.166,0.47833789954338,1.1472602739726028,0.3698630136986301,0.922,"combat, prey, darling, help, hold",False,False,0.0,-1.7364829,5.568963,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",x,ACTUAL
I Think He Knows,Lover,0.366,0.416,0.9998883248730976,1.2055837563451777,0.3197969543147208,0.0778,"bless, heartbeat, soul, avenue, skipping",False,False,4.0,0.4407622,4.696375,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),x,ACTUAL
Miss Americana & The Heartbreak Prince,Lover,0.747,0.487,2.1971694019996235,1.2339181286549707,0.327485380116959,1.255,"win, counted, hallway, fight, whisper",False,False,3.0,2.9177666,8.442582,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
Paper Rings,Lover,0.719,0.865,1.4479292672165087,1.1821946169772255,0.2857142857142857,-0.9097,"huh, darling, accidents, frames, went",False,False,3.0,-0.6479848,8.817574,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
Cornelia Street,Lover,0.624,0.248,3.360740052791087,1.3652849740932642,0.3601036269430052,-0.2844,"walk, screams, hope, mystified, city",False,False,2.0,4.105739,6.276896,syllable_density,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",x,ACTUAL
Death By A Thousand Cuts,Lover,0.732,0.313,1.6119767441860482,1.2209302325581397,0.341860465116279,0.2381999999999999,"flickering, chandelier, boarded, tryna, pretend",False,False,3.0,2.226497,6.956329,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
London Boy,Lover,0.71,0.557,2.068482662617061,1.2222222222222223,0.3469387755102041,-0.3508,"fancy, wanna, enjoy, highgate, tennessee",False,False,3.0,2.4888363,8.000826,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
Soon You'll Get Better,Lover,0.182,0.421,1.06473717146433,1.1829787234042553,0.4382978723404255,-1.5878,"pray, supposed, cause, normal, tangled",False,False,1.0,0.2722231,5.0913596,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),x,ACTUAL
False God,Lover,0.32,0.351,0.6620866043613702,1.165109034267913,0.3551401869158878,0.5439,"worship, blind, faith, led, religion",False,False,4.0,0.7056485,4.1444545,energy,Standard Pop,Radio-Ready (Mid-Range Baseline Production),x,ACTUAL
You Need To Calm Down,Lover,0.671,0.714,1.0601020986954062,1.1337209302325582,0.3953488372093023,-0.8817,"loud, just, stop, somebody, step",False,False,3.0,-0.6603391,8.585071,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
Afterglow,Lover,0.449,0.399,0.9012418831168816,1.1324675324675324,0.3142857142857143,1.4926,"wanna, lose, meant, burned, hurt",False,False,0.0,-1.8750259,5.6999254,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",x,ACTUAL
ME!,Lover,0.83,0.728,1.8445539956803465,1.176715176715177,0.2681912681912682,0.0389999999999999,"eeh, promise, fun, lotta, team",False,False,3.0,-0.2664978,8.805305,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",x,ACTUAL
It's Nice To Have A Friend,Lover,0.175,0.545,-0.3153846153846142,1.0961538461538465,0.5384615384615384,-0.9325,"nerve, church, sinks, sounds, video",False,False,1.0,0.07813729,5.4584107,reading_grade,Fountain Pen,Modern Confessional (Specific Storytelling),x,ACTUAL
Daylight,Lover,0.496,0.265,2.511200457862355,1.2593360995850622,0.3112033195020747,0.5417000000000001,"wanna, golden, sleepin, believed, awake",False,False,4.0,2.256847,4.632928,valence,Standard Pop,Radio-Ready (Mid-Range Baseline Production),x,ACTUAL
the 1,folklore,0.361,0.163,2.3299500542888154,1.293159609120521,0.4201954397394137,-0.9487,"defense, pennies, wishes, fun, greatest",False,False,1.0,3.7380843,5.5268435,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
cardigan,folklore,0.58,0.534,1.261593073593076,1.2261904761904765,0.3958333333333333,0.5039,"assume, young, felt, bed, line",False,False,3.0,1.38704,8.224275,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
the last great american dynasty,folklore,0.653,0.701,3.2195737082066884,1.3221884498480243,0.4984802431610942,-1.3296,"marvelous, ruining, seen, money, showed",False,False,2.0,4.8259892,6.3646393,lexical_diversity,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",circle,ACTUAL
exile,folklore,0.374,0.16,1.96943103448276,1.2257383966244726,0.3122362869198312,-0.0749,"warning, gave, signs, sign, film",False,False,4.0,1.6469234,4.6624966,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),circle,ACTUAL
my tears ricochet,folklore,0.265,0.112,1.4949869224062802,1.1709677419354838,0.4612903225806452,-1.1306,"cursing, stayed, wishing, didn, wake",False,False,1.0,0.72506016,4.5247335,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
mirrorball,folklore,0.417,0.347,2.4710730314157523,1.306201550387597,0.3914728682170542,-0.2445999999999999,"hush, tiptoes, tallest, highest, shining",False,False,2.0,3.7790396,5.770853,syllable_density,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",circle,ACTUAL
seven,folklore,0.494,0.374,0.6826758409785931,1.1788990825688073,0.5229357798165137,-0.1134999999999999,"folk, passed, tea, lasts, cross",False,False,1.0,0.41303343,5.713546,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
august,folklore,0.634,0.42,1.565542065491183,1.1914357682619647,0.2821158690176322,0.4899,"hope, case, sipped, canceled, bedsheets",False,False,3.0,1.9794202,7.5649557,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
this is me trying,folklore,0.478,0.408,2.0552747252747245,1.1884615384615385,0.4384615384615384,1.5111,"wanted, curve, regrets, hard, lot",False,False,4.0,2.6043413,3.5840402,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),circle,ACTUAL
illicit affairs,folklore,0.304,0.44,2.008371687587168,1.2719665271966527,0.5481171548117155,-1.647,"dies, meetings, lie, times, million",False,False,1.0,4.698722,4.17833,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
invisible string,folklore,0.459,0.454,1.9221866708287827,1.25503355704698,0.4966442953020134,-0.9757,"tying, color, isn, pretty, trip",False,False,1.0,4.584299,3.9052782,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
mad woman,folklore,0.7,0.451,1.1861104033970271,1.1910828025477709,0.4076433121019108,0.1368999999999999,"angry, likes, crazy, shame, does",False,False,3.0,1.0631119,9.53899,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",circle,ACTUAL
epiphany,folklore,0.254,0.103,1.3760997267759585,1.185792349726776,0.4262295081967213,0.2744999999999999,"serve, watch, breathing, minutes, sense",False,False,4.0,1.0167994,4.1115885,valence,Standard Pop,Radio-Ready (Mid-Range Baseline Production),circle,ACTUAL
betty,folklore,0.376,0.476,0.7419230769230793,1.1692307692307693,0.356043956043956,-0.6211,"showed, party, garden, seventeen, thing",False,False,1.0,-0.38754305,5.7473755,energy,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
peace,folklore,0.284,0.328,2.109832119100414,1.212543554006969,0.4146341463414634,-0.8888,"wave, blues, devil, ocean, brother",False,False,1.0,1.0522884,4.7855425,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
hoax,folklore,0.178,0.404,1.0341800782949129,1.1983471074380163,0.4380165289256198,0.9113,"sadness, shade, pulled, apart, cliffside",False,False,4.0,2.6928563,3.8449867,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),circle,ACTUAL
the lakes,folklore,0.258,0.268,2.4422906403940914,1.2543103448275863,0.4655172413793103,-0.1904,"windermere, muse, peaks, setting, beloved",False,False,1.0,3.8694668,4.621102,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),circle,ACTUAL
willow,evermore,0.574,0.529,0.8094634581105176,1.1446078431372548,0.2941176470588235,-0.4311,"wreck, begging, plans, stray, hand",False,False,0.0,-1.0575134,7.0063305,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",bowtie,ACTUAL
champagne problems,evermore,0.24,0.32,2.045699300699301,1.2797202797202798,0.5804195804195804,0.9985,"reason, dropped, mom, pocket, ring",False,False,1.0,3.4993486,3.764421,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),bowtie,ACTUAL
gold rush,evermore,0.462,0.353,2.8038748419721884,1.2920353982300885,0.3421828908554572,-0.9351,"everybody, wants, falling, vision, dominoes",False,False,2.0,3.8666756,6.2002873,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",bowtie,ACTUAL
'tis the damn season,evermore,0.434,0.348,1.0632445431002608,1.156862745098039,0.3725490196078431,1.2419,"taken, hometown, leads, weekend, looks",False,False,4.0,1.5080878,3.5506938,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),bowtie,ACTUAL
tolerate it,evermore,0.361,0.221,1.495000000000001,1.2,0.419047619047619,-0.3524,"watch, celebrated, sit, head, wiser",False,False,1.0,0.87884533,4.3776474,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),bowtie,ACTUAL
